time,code,open,close,volume,amount
20170424 09:25:00,000021.SZ,8.09,8.09,116800,944912
20170424 09:30:00,000021.SZ,8.09,8.03,225700,1816675
20170424 09:31:00,000021.SZ,8.03,8.04,124600,1000588
20170424 09:32:00,000021.SZ,8.04,8.05,74300,597480
20170424 09:33:00,000021.SZ,8.04,7.99,229400,1839415
20170424 09:34:00,000021.SZ,7.99,7.88,153700,1219174
20170424 09:35:00,000021.SZ,7.9,7.84,260747,2042056
20170424 09:36:00,000021.SZ,7.83,7.88,84442,662864
20170424 09:37:00,000021.SZ,7.89,7.9,53833,424991
20170424 09:38:00,000021.SZ,7.92,7.91,64356,509618
20170424 09:39:00,000021.SZ,7.92,7.92,50656,401036
20170424 09:40:00,000021.SZ,7.93,7.91,125855,995947
20170424 09:41:00,000021.SZ,7.9,7.88,159256,1256557
20170424 09:42:00,000021.SZ,7.86,7.86,155200,1219777
20170424 09:43:00,000021.SZ,7.86,7.86,110300,867416
20170424 09:44:00,000021.SZ,7.86,7.87,135400,1064562
20170424 09:45:00,000021.SZ,7.87,7.85,134800,1059354
20170424 09:46:00,000021.SZ,7.86,7.86,271700,2133742
20170424 09:47:00,000021.SZ,7.86,7.85,167700,1316605
20170424 09:48:00,000021.SZ,7.84,7.85,160229,1257250
20170424 09:49:00,000021.SZ,7.85,7.88,70333,552937
20170424 09:50:00,000021.SZ,7.88,7.9,78711,621561
20170424 09:51:00,000021.SZ,7.91,7.91,39700,313968
20170424 09:52:00,000021.SZ,7.91,7.89,85600,675881
20170424 09:53:00,000021.SZ,7.89,7.89,18108,142909
20170424 09:54:00,000021.SZ,7.9,7.9,46700,368898
20170424 09:55:00,000021.SZ,7.9,7.92,53400,421653
20170424 09:56:00,000021.SZ,7.89,7.9,99800,788432
20170424 09:57:00,000021.SZ,7.9,7.9,53400,421476
20170424 09:58:00,000021.SZ,7.89,7.89,46509,366823
20170424 09:59:00,000021.SZ,7.89,7.88,26000,204850
20170424 10:00:00,000021.SZ,7.87,7.88,42800,336992
20170424 10:01:00,000021.SZ,7.88,7.89,22600,177999
20170424 10:02:00,000021.SZ,7.89,7.91,98006,774253
20170424 10:03:00,000021.SZ,7.92,7.91,43400,343372
20170424 10:04:00,000021.SZ,7.91,7.93,47600,376963
20170424 10:05:00,000021.SZ,7.93,7.92,42400,336097
20170424 10:06:00,000021.SZ,7.92,7.91,66600,527024
20170424 10:07:00,000021.SZ,7.91,7.91,47647,376661
20170424 10:08:00,000021.SZ,7.9,7.9,42647,336860
20170424 10:09:00,000021.SZ,7.9,7.9,53550,422427
20170424 10:10:00,000021.SZ,7.9,7.89,17188,135572
20170424 10:11:00,000021.SZ,7.89,7.87,26586,209537
20170424 10:12:00,000021.SZ,7.87,7.89,27700,218177
20170424 10:13:00,000021.SZ,7.89,7.88,28300,222991
20170424 10:14:00,000021.SZ,7.88,7.88,25362,199833
20170424 10:15:00,000021.SZ,7.87,7.89,83400,657783
20170424 10:16:00,000021.SZ,7.89,7.89,57500,453523
20170424 10:17:00,000021.SZ,7.89,7.89,62600,493681
20170424 10:18:00,000021.SZ,7.89,7.89,34800,274630
20170424 10:19:00,000021.SZ,7.89,7.91,24720,195306
20170424 10:20:00,000021.SZ,7.91,7.93,48360,382798
20170424 10:21:00,000021.SZ,7.93,7.93,35440,280920
20170424 10:22:00,000021.SZ,7.93,7.9,49000,387679
20170424 10:23:00,000021.SZ,7.9,7.9,22229,175601
20170424 10:24:00,000021.SZ,7.9,7.9,11400,90012
20170424 10:25:00,000021.SZ,7.89,7.9,18120,143140
20170424 10:26:00,000021.SZ,7.9,7.9,9000,71111
20170424 10:27:00,000021.SZ,7.9,7.9,20100,158880
20170424 10:28:00,000021.SZ,7.91,7.9,34823,275331
20170424 10:29:00,000021.SZ,7.9,7.9,43100,340497
20170424 10:30:00,000021.SZ,7.9,7.89,22662,178806
20170424 10:31:00,000021.SZ,7.89,7.88,43946,346698
20170424 10:32:00,000021.SZ,7.89,7.88,56100,442436
20170424 10:33:00,000021.SZ,7.88,7.88,30300,238774
20170424 10:34:00,000021.SZ,7.88,7.88,65984,519737
20170424 10:35:00,000021.SZ,7.88,7.88,31400,247317
20170424 10:36:00,000021.SZ,7.88,7.88,10900,85893
20170424 10:37:00,000021.SZ,7.88,7.89,45200,356548
20170424 10:38:00,000021.SZ,7.89,7.87,9000,70911
20170424 10:39:00,000021.SZ,7.87,7.88,36300,285703
20170424 10:40:00,000021.SZ,7.88,7.88,43400,341678
20170424 10:41:00,000021.SZ,7.88,7.87,15100,118900
20170424 10:42:00,000021.SZ,7.88,7.87,39300,309467
20170424 10:43:00,000021.SZ,7.87,7.88,12300,96884
20170424 10:44:00,000021.SZ,7.88,7.88,18918,149025
20170424 10:45:00,000021.SZ,7.87,7.9,25425,200448
20170424 10:46:00,000021.SZ,7.9,7.9,7800,61615
20170424 10:47:00,000021.SZ,7.9,7.9,14200,112180
20170424 10:48:00,000021.SZ,7.9,7.89,10200,80570
20170424 10:49:00,000021.SZ,7.89,7.89,900,7101
20170424 10:50:00,000021.SZ,7.89,7.89,16300,128700
20170424 10:51:00,000021.SZ,7.89,7.88,4900,38659
20170424 10:52:00,000021.SZ,7.88,7.88,22485,177189
20170424 10:53:00,000021.SZ,7.88,7.89,6400,50433
20170424 10:54:00,000021.SZ,7.89,7.89,24883,196293
20170424 10:55:00,000021.SZ,7.89,7.88,19217,151432
20170424 10:56:00,000021.SZ,7.88,7.88,14500,114140
20170424 10:57:00,000021.SZ,7.87,7.87,59800,470601
20170424 10:58:00,000021.SZ,7.87,7.87,58200,457498
20170424 10:59:00,000021.SZ,7.87,7.87,38800,305012
20170424 11:00:00,000021.SZ,7.87,7.86,19746,155162
20170424 11:01:00,000021.SZ,7.86,7.86,24900,195699
20170424 11:02:00,000021.SZ,7.86,7.86,34921,274709
20170424 11:03:00,000021.SZ,7.86,7.87,18909,148722
20170424 11:04:00,000021.SZ,7.87,7.88,9315,73362
20170424 11:05:00,000021.SZ,7.88,7.88,19510,153707
20170424 11:06:00,000021.SZ,7.88,7.89,20000,157818
20170424 11:07:00,000021.SZ,7.89,7.89,14300,112819
20170424 11:08:00,000021.SZ,7.89,7.89,20300,159989
20170424 11:09:00,000021.SZ,7.89,7.88,46207,364184
20170424 11:10:00,000021.SZ,7.88,7.89,23930,189004
20170424 11:11:00,000021.SZ,7.89,7.89,14500,114414
20170424 11:12:00,000021.SZ,7.89,7.88,22770,179718
20170424 11:13:00,000021.SZ,7.89,7.89,2300,18132
20170424 11:14:00,000021.SZ,7.89,7.88,9500,74866
20170424 11:15:00,000021.SZ,7.88,7.89,4300,33927
20170424 11:16:00,000021.SZ,7.89,7.88,8800,69369
20170424 11:17:00,000021.SZ,7.88,7.88,6600,52008
20170424 11:18:00,000021.SZ,7.88,7.87,44059,346931
20170424 11:19:00,000021.SZ,7.87,7.85,39462,310133
20170424 11:20:00,000021.SZ,7.87,7.87,25700,201871
20170424 11:21:00,000021.SZ,7.85,7.85,35900,282161
20170424 11:22:00,000021.SZ,7.85,7.87,31200,245181
20170424 11:23:00,000021.SZ,7.87,7.87,24200,190257
